Evaluation,Model,Parameter,Accuracy
1,SVM,"kernel=rbf, gamma=9.999999999999999e-10, degree=2, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-08, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-07, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=0.01, gamma=1e-06, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-06, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-05, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.001, C=0.01, coef0=0",0.5357142857142857
1,SVM,"gamma=0.01, kernel=rbf, degree=2, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.09999999999999999, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=0.01, coef0=0, gamma=1.0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=10.0, degree=2, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=100.0, degree=2, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=1000.0, degree=2, C=0.01, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=9.999999999999999e-10, degree=2, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-08, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-07, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-06, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-06, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-05, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.001, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"gamma=0.01, kernel=rbf, degree=2, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.09999999999999999, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, coef0=0, gamma=1.0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, gamma=10.0, degree=2, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, gamma=100.0, degree=2, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, gamma=1000.0, degree=2, coef0=0, C=0.09999999999999999",0.5357142857142857
1,SVM,"kernel=rbf, gamma=9.999999999999999e-10, degree=2, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-08, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=1.0, gamma=1e-07, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=1.0, gamma=1e-06, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-06, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=1.0, gamma=9.999999999999999e-05, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.001, C=1.0, coef0=0",0.5357142857142857
1,SVM,"gamma=0.01, kernel=rbf, degree=2, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.09999999999999999, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=1.0, coef0=0, gamma=1.0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=10.0, degree=2, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=100.0, degree=2, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=1000.0, degree=2, C=1.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=9.999999999999999e-10, degree=2, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-08, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-07, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=10.0, gamma=1e-06, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=9.999999999999999e-06, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=10.0, gamma=9.999999999999999e-05, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.001, C=10.0, coef0=0",0.5357142857142857
1,SVM,"gamma=0.01, kernel=rbf, degree=2, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=0.09999999999999999, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=10.0, coef0=0, gamma=1.0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=10.0, degree=2, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=100.0, degree=2, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=1000.0, degree=2, C=10.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, gamma=9.999999999999999e-10, degree=2, C=100.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-08, C=100.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, gamma=1e-07, C=100.0, coef0=0",0.5357142857142857
1,SVM,"kernel=rbf, degree=2, C=100.0, gamma=1e-06, coef0=0",0.5357142857142857
