Evaluation,Model,Parameter,Accuracy
1,ANN,"learning_rate=decrease, neuron1=100, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100",0.6451612903225806
1,ANN,"learning_rate=decrease, neuron1=100, model=1, layers=3, use_transfer_learning=True, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"neuron1=100, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr",0.6854838709677419
1,ANN,"neuron1=100, model=1, layers=3, use_transfer_learning=True, neuron2=100, learning_rate=clr, use_svm=False",0.6451612771038086
1,ANN,"learning_rate=decrease, neuron1=100, model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100",0.6451612903225806
1,ANN,"learning_rate=decrease, neuron1=100, model=1, use_transfer_learning=True, layers=6, neuron2=100, use_svm=False",0.6451612771038086
1,ANN,"neuron1=100, model=1, use_transfer_learning=True, use_svm=True, layers=6, neuron2=100, learning_rate=clr",0.7862903225806451
1,ANN,"neuron1=100, model=1, use_transfer_learning=True, layers=6, neuron2=100, learning_rate=clr, use_svm=False",0.794354836786947
1,ANN,"learning_rate=decrease, neuron1=100, model=1, use_transfer_learning=True, use_svm=True, neuron2=100, layers=8",0.6451612903225806
1,ANN,"learning_rate=decrease, neuron1=100, model=1, use_transfer_learning=True, use_svm=False, neuron2=100, layers=8",0.6451612771038086
1,ANN,"neuron1=100, model=1, use_transfer_learning=True, use_svm=True, neuron2=100, learning_rate=clr, layers=8",0.8306451612903226
1,ANN,"neuron1=100, model=1, use_transfer_learning=True, use_svm=False, neuron2=100, learning_rate=clr, layers=8",0.8266128976979562
1,ANN,"learning_rate=decrease, neuron1=100, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200",0.6451612903225806
1,ANN,"learning_rate=decrease, neuron1=100, model=1, layers=3, use_transfer_learning=True, neuron2=200, use_svm=False",0.6451612771038086
1,ANN,"neuron1=100, model=1, layers=3, use_transfer_learning=True, use_svm=True, neuron2=200, learning_rate=clr",0.6935483870967741
