Parameter Combination,Count
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=300', 'neuron2=200', 'use_svm=True', 'use_transfer_learning=True')",4
"('base_learning_rate=0.001', 'batch_size=32', 'number_of_layers=75')",4
"('base_learning_rate=0.001', 'batch_size=32', 'number_of_layers=50')",3
"('C=10000000.0', 'degree=2', 'gamma=10.0', 'kernel=rbf')",3
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=100', 'neuron2=200', 'use_svm=True', 'use_transfer_learning=True')",2
"('C=1000000.0', 'degree=2', 'gamma=10.0', 'kernel=rbf')",2
"('C=1000000.0', 'degree=2', 'gamma=1000.0', 'kernel=rbf')",2
"('C=10000.0', 'degree=2', 'gamma=1000.0', 'kernel=rbf')",2
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=100', 'neuron2=200', 'use_svm=False', 'use_transfer_learning=True')",1
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=128', 'neuron2=200', 'use_svm=False', 'use_transfer_learning=True')",1
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=300', 'neuron2=100', 'use_svm=True', 'use_transfer_learning=True')",1
"('base_learning_rate=0.1', 'batch_size=32', 'number_of_layers=100')",1
"('base_learning_rate=0.01', 'batch_size=32', 'number_of_layers=75')",1
"('C=100000.0', 'degree=2', 'gamma=1000.0', 'kernel=rbf')",1
"('layers=8', 'learning_rate=clr', 'model=1', 'neuron1=100', 'neuron2=100', 'use_svm=False', 'use_transfer_learning=True')",1
"('base_learning_rate=0.01', 'batch_size=32', 'number_of_layers=100')",1
