Model 1,Model 2,P-value,Statistic
ANN,CNN,1.6457763572813978e-05,115.0
ANN,SVM,1.2402507363468661e-12,14.0
ANN,Baseline,0.002313686022578588,125.0
ANN,PosNeg,0.0310376447163821,114.0
ANN,Mean,1.4264166101867544e-06,105.0
CNN,SVM,0.6685446423908705,170.0
CNN,Baseline,0.01544026202090637,27.0
CNN,PosNeg,0.0213938375555731,124.0
CNN,Mean,0.7481319268834679,171.0
SVM,Baseline,0.5355264536321567,181.0
SVM,PosNeg,0.07743208938764917,129.0
SVM,Mean,0.3849204254472436,141.0
Baseline,PosNeg,0.2972431512974047,124.0
Baseline,Mean,0.13714504839169475,163.0
PosNeg,Mean,2.3164303287606513e-05,37.0
