Model 1,Model 2,P-value,Statistic
ANN,CNN,0.002573569259878755,57.0
ANN,SVM,1.163555804595262e-06,8.0
ANN,Baseline,0.02511137725625671,59.0
ANN,PosNeg,0.1098495025660595,54.0
ANN,Mean,6.0996362368445055e-05,39.0
CNN,SVM,0.8240980930696906,89.0
CNN,Baseline,0.052478790283203125,6.0
CNN,PosNeg,0.12925766357758367,61.0
CNN,Mean,0.6642959893958239,92.0
SVM,Baseline,0.7140111628842963,90.0
SVM,PosNeg,0.24488359344375757,65.0
SVM,Mean,0.3823543213561353,60.0
Baseline,PosNeg,0.48802234383086557,62.0
Baseline,Mean,0.24937669004363636,88.0
PosNeg,Mean,0.0010657657791434353,17.0
