Model 1,Model 2,P-value,Statistic
ANN,CNN,0.0061187033754637075,56.0
ANN,SVM,5.264832102225281e-08,9.0
ANN,Baseline,0.005430090453482412,54.0
ANN,PosNeg,0.03418672834773907,52.0
ANN,Mean,0.0005337707534569341,50.0
CNN,SVM,0.6557342476089664,87.0
CNN,Baseline,1.0,17.0
CNN,PosNeg,0.503639489729781,67.0
CNN,Mean,0.6116873356949437,91.0
SVM,Baseline,0.6626346634894799,91.0
SVM,PosNeg,0.21744554778290426,66.0
SVM,Mean,0.9999999999999991,73.0
Baseline,PosNeg,0.48802234383086557,62.0
Baseline,Mean,0.6153807408843824,93.0
PosNeg,Mean,0.03961701489849968,22.0
