Evaluation,Model,Parameter,Accuracy
1,SVM,"coef0=0, degree=2, C=10000.0, kernel=rbf, gamma=1000.0",0.8508064516129031
2,SVM,"coef0=0, degree=2, kernel=rbf, C=1000000.0, gamma=1000.0",0.8709677419354838
3,SVM,"coef0=0, degree=2, C=10000.0, kernel=rbf, gamma=1000.0",0.8449367088607596
4,SVM,"coef0=0, degree=2, kernel=rbf, gamma=100.0, C=100000.0",0.8356164383561644
5,SVM,"coef0=0, degree=2, C=10000.0, kernel=rbf, gamma=1000.0",0.8709677419354838
1,ANN,"layers=6, learning_rate=decrease, neuron1=60, model=1, use_svm=True, use_transfer_learning=True, neuron2=100",0.8346774193548386
2,ANN,"layers=6, learning_rate=decrease, neuron1=150, model=1, use_svm=True, use_transfer_learning=True, neuron2=100",0.8830645161290323
3,ANN,"neuron2=100, layers=6, learning_rate=decrease, model=1, use_svm=True, use_transfer_learning=True, neuron1=200",0.8417721518987341
4,ANN,"neuron2=100, layers=6, learning_rate=decrease, model=1, use_svm=True, use_transfer_learning=True, neuron1=200",0.863013698630137
5,ANN,"layers=6, learning_rate=decrease, neuron1=60, model=1, use_svm=True, use_transfer_learning=True, neuron2=100",0.8588709677419354
1,Baseline,,0.6451612903225806
2,Baseline,,0.6451612903225806
3,Baseline,,0.6487341772151899
4,Baseline,,0.6678082191780822
5,Baseline,,0.6451612903225806
1,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=100",0.6733870936497565
2,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=50",0.6935483861354089
3,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=50",0.6898734263981445
4,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=50",0.7089041050982803
5,CNN,"base_learning_rate=0.001, batch_size=32, number_of_layers=50",0.6532258011641041
