Evaluation,Model,Parameter,Accuracy
2,ANN,"neuron1=128, neuron2=100, learning_rate=decrease, layers=8",0.5555555555555556
1,ANN,"neuron1=128, learning_rate=decrease, neuron2=100, layers=8",0.5555555555555556
4,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=300",0.5357142857142856
2,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=300",0.5185185185185185
2,ANN,"neuron1=60, learning_rate=decrease, neuron2=300, layers=8",0.5185185185185185
1,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=100",0.5185185185185185
1,ANN,"neuron1=60, neuron2=150, learning_rate=clr, layers=8",0.5185185185185185
3,ANN,"neuron1=60, neuron2=100, learning_rate=clr, layers=8",0.4999999999999999
3,ANN,"neuron1=60, layers=6, neuron2=150, learning_rate=clr",0.4999999999999999
3,ANN,"neuron1=60, learning_rate=decrease, neuron2=300, layers=8",0.4999999999999999
3,ANN,"neuron1=128, learning_rate=decrease, layers=6, neuron2=150",0.4999999999999999
4,ANN,"neuron1=60, neuron2=100, learning_rate=decrease, layers=6",0.4999999999999999
4,ANN,"neuron1=128, learning_rate=decrease, layers=6, neuron2=150",0.4999999999999999
4,ANN,"neuron1=128, learning_rate=decrease, layers=6, neuron2=300",0.4999999999999999
4,ANN,"neuron1=128, learning_rate=decrease, neuron2=300, layers=8",0.4999999999999999
3,ANN,"neuron1=60, neuron2=150, learning_rate=decrease, layers=8",0.4999999999999999
3,ANN,"neuron1=128, layers=6, neuron2=300, learning_rate=decrease",0.4999999999999999
1,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=150",0.4814814814814814
2,ANN,"neuron1=60, learning_rate=decrease, layers=6, neuron2=150",0.4814814814814814
2,ANN,"neuron1=128, learning_rate=decrease, neuron2=150, layers=8",0.4814814814814814
