Evaluation,Model,Parameter,Accuracy
2,SVM,"kernel=rbf, coef0=0, degree=1, gamma=0.1, C=100000000.0",0.5555555555555556
2,SVM,"kernel=rbf, coef0=0, gamma=0.1, C=100000000.0, degree=2",0.5555555555555556
2,SVM,"kernel=rbf, coef0=0, gamma=0.1, degree=3, C=100000000.0",0.5555555555555556
2,SVM,"kernel=rbf, coef0=0, gamma=0.1, degree=4, C=100000000.0",0.5555555555555556
2,SVM,"kernel=rbf, coef0=0, gamma=0.1, C=100000000.0, degree=5",0.5555555555555556
2,SVM,"kernel=rbf, coef0=0, degree=1, C=10000.0, gamma=1000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000.0, degree=2, gamma=1000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000.0, degree=3, gamma=1000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000.0, degree=4, gamma=1000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000.0, gamma=1000.0, degree=5",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=1, C=100000.0, gamma=100.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=100000.0, degree=2, gamma=100.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=100000.0, degree=3, gamma=100.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=4, C=100000.0, gamma=100.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=100000.0, gamma=100.0, degree=5",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000.0, degree=1, gamma=10.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000.0, degree=2, gamma=10.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000.0, degree=3, gamma=10.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000.0, degree=4, gamma=10.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000.0, gamma=10.0, degree=5",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=1, gamma=1.0, C=1000000000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, gamma=1.0, degree=2, C=1000000000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=3, gamma=1.0, C=1000000000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=4, gamma=1.0, C=1000000000.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=1000000000.0, gamma=1.0, degree=5",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=1, C=10000000000.0, gamma=1.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000000000.0, gamma=1.0, degree=2",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=3, C=10000000000.0, gamma=1.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, degree=4, C=10000000000.0, gamma=1.0",0.5185185185185185
2,SVM,"kernel=rbf, coef0=0, C=10000000000.0, gamma=1.0, degree=5",0.5185185185185185
2,SVM,"coef0=0, degree=1, kernel=linear, C=10000000.0, gamma=1e-09",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, C=10000000.0, degree=2, gamma=1e-09",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, degree=3, C=10000000.0, gamma=1e-09",0.5185185185185185
2,SVM,"coef0=0, degree=4, kernel=linear, C=10000000.0, gamma=1e-09",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, C=10000000.0, gamma=1e-09, degree=5",0.5185185185185185
2,SVM,"gamma=1e-08, coef0=0, degree=1, kernel=linear, C=10000000.0",0.5185185185185185
2,SVM,"gamma=1e-08, coef0=0, kernel=linear, C=10000000.0, degree=2",0.5185185185185185
2,SVM,"gamma=1e-08, coef0=0, kernel=linear, degree=3, C=10000000.0",0.5185185185185185
2,SVM,"gamma=1e-08, coef0=0, degree=4, kernel=linear, C=10000000.0",0.5185185185185185
2,SVM,"gamma=1e-08, coef0=0, kernel=linear, C=10000000.0, degree=5",0.5185185185185185
2,SVM,"coef0=0, degree=1, gamma=1e-07, kernel=linear, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, gamma=1e-07, kernel=linear, C=10000000.0, degree=2",0.5185185185185185
2,SVM,"coef0=0, gamma=1e-07, kernel=linear, degree=3, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, gamma=1e-07, degree=4, kernel=linear, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, gamma=1e-07, kernel=linear, C=10000000.0, degree=5",0.5185185185185185
2,SVM,"coef0=0, degree=1, kernel=linear, gamma=1e-06, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, gamma=1e-06, C=10000000.0, degree=2",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, gamma=1e-06, degree=3, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, degree=4, kernel=linear, gamma=1e-06, C=10000000.0",0.5185185185185185
2,SVM,"coef0=0, kernel=linear, gamma=1e-06, C=10000000.0, degree=5",0.5185185185185185
